X,Y
-84.2378526,42.066783575
-84.237848075,42.066804575
-84.237840375,42.0668235
-84.237828775,42.066841275
-84.237812275,42.0668562
-84.23778905,42.06686615
-84.2377639,42.06687435
-84.237736325,42.066876825
-84.237706825,42.066876825
-84.237677375,42.066878975
-84.23764355,42.0668854
-84.237611525,42.066896175
-84.237581525,42.0669105
-84.237554925,42.06692795
-84.2375308666667,42.0669410666667
-84.23750545,42.06695255
-84.23746948,42.06696452
-84.2374369,42.066974175
-84.2374149666667,42.0669841333333
-84.237395625,42.0669949
-84.2373762,42.0670131
-84.237362025,42.06703665
-84.2373549,42.067057875
-84.237354,42.067080025
-84.23735965,42.06710365
-84.2373689,42.0671249333333
-84.2373809,42.06714665
-84.237395525,42.06717325
-84.23741152,42.06720582
-84.23742845,42.0672416
-84.2374456,42.067276575
-84.237465825,42.06731495
-84.237487675,42.06735455
-84.237509425,42.067393075
-84.237530125,42.067430175
-84.23754915,42.067465975
-84.2375669,42.06750055
-84.23758245,42.06753505
-84.23759475,42.067568225
-84.237603475,42.067600125
-84.237605925,42.0676308
-84.2376028,42.067660825
-84.2375935,42.067688
-84.237577,42.067712425
-84.2375546,42.067736675
-84.237526975,42.06775805
-84.23749485,42.067776275
-84.2374634666667,42.0677906
-84.23743085,42.06780345
-84.23739022,42.0678215
-84.237352625,42.067842125
-84.237322575,42.0678642
-84.2372998,42.0678855333333
-84.23727492,42.06791078
-84.237244925,42.067937725
-84.237216175,42.0679584
-84.237188575,42.06797725
-84.237165525,42.067995975
-84.2371473,42.068017025
-84.237135175,42.06803895
-84.237127975,42.068062375
-84.23712835,42.068087125
-84.2371341666666,42.0681095666667
-84.2371447,42.06813702
-84.237158775,42.068170475
-84.237173225,42.068202975
-84.2371901,42.068237975
-84.23720645,42.0682733
-84.23721995,42.06830715
-84.237229925,42.068340175
-84.237235925,42.06837205
-84.2372365,42.068402375
-84.237233525,42.068431
-84.237225175,42.068458125
-84.2372108,42.0684837
-84.237191125,42.068508125
-84.2371661,42.0685319
-84.237135275,42.0685542
-84.23709915,42.068577325
-84.2370672,42.0685981666667
-84.23703372,42.06862372
-84.2370022,42.068654725
-84.2369786,42.068685125
-84.236958625,42.06871815
-84.23694295,42.0687543
-84.236929225,42.06879365
-84.2369164666667,42.0688308
-84.23690204,42.0688763
-84.23688595,42.0689284
-84.236871925,42.06897365
-84.2368598666667,42.0690121666667
-84.236849475,42.069050275
-84.23683806,42.06909892
-84.236828575,42.069146225
-84.23682265,42.0691868
-84.23681815,42.0692261
-84.2368145,42.0692591
-84.236810775,42.0692917
-84.236806275,42.06932715
-84.23679972,42.06936536
-84.236788025,42.069399275
-84.236772875,42.069425475
-84.236756325,42.069448425
-84.236738525,42.069468875
-84.236717225,42.069485175
-84.2366978666667,42.0694971666667
-84.23667922,42.0695137
-84.236664075,42.0695366
-84.236656675,42.069559575
-84.2366525,42.069581
-84.236644775,42.069601825
-84.23662946,42.06962768
-84.236612275,42.0696515
-84.23659925,42.0696714
-84.236590875,42.069689375
-84.23658655,42.069706075
-84.2365864333333,42.0697202666667
-84.2365907,42.06973545
-84.23660236,42.06975292
-84.236619725,42.069768075
-84.236641675,42.069775525
-84.2366666,42.069780275
-84.23669275,42.0697822
-84.2367168,42.0697817333333
-84.23674464,42.06977856
-84.2367764,42.069773975
-84.23680345,42.069771375
-84.2368282,42.069769475
-84.23685105,42.06976905
-84.23687475,42.069770075
-84.2368977,42.0697665
-84.236919225,42.069758425
-84.236941175,42.0697481
-84.2369607,42.069733725
-84.236973275,42.069714475
-84.2369790333333,42.0696946666667
-84.23697938,42.06967276
-84.2369727,42.0696475
-84.2369605,42.06962555
-84.2369442666667,42.0696065666667
-84.23692386,42.06958584
-84.2369036,42.069563175
-84.236892425,42.069544875
-84.2368856,42.069526425
-84.236884725,42.069507275
-84.236888175,42.0694901
-84.236897625,42.0694726
-84.2369136,42.06945655
-84.2369359,42.069443225
-84.236962575,42.069433925
-84.236991675,42.069428025
-84.237022025,42.069426175
-84.2370485,42.0694279
-84.237073725,42.069433275
-84.23710366,42.06944458
-84.2371292,42.069459625
-84.2371464,42.0694744333333
