"_time","Latitude 1664","Longitude 1664"
1778951292200,42.067697200000005,-84.24034964999998
1778951292400,42.067722775,-84.24034800000001
1778951292600,42.067749525,-84.240348025
1778951292800,42.067779449999996,-84.240345675
1778951293000,42.0678103,-84.240338075
1778951293200,42.06784534,-84.240322
1778951293400,42.06787546666666,-84.24030113333333
1778951293600,42.0679015,-84.24027949999999
1778951293800,42.067934125,-84.2402553
1778951294000,42.067968675,-84.24023414999999
1778951294200,42.068005400000004,-84.24021615
1778951294400,42.068044,-84.24020075
1778951294600,42.068084725,-84.24018914999999
1778951294800,42.068127950000004,-84.24018115
1778951295000,42.068171925,-84.2401739
1778951295200,42.06821705,-84.2401656
1778951295400,42.068263575,-84.24015589999999
1778951295600,42.068310874999995,-84.240143475
1778951295800,42.068365060000005,-84.24012666
1778951296000,42.06841965,-84.24010614999999
1778951296200,42.0684617,-84.24008806666666
1778951296400,42.0685048,-84.24006962499999
1778951296600,42.068561079999995,-84.24004496
1778951296800,42.068610899999996,-84.2400225
1778951297000,42.06865117500001,-84.24000307499999
1778951297200,42.068694300000004,-84.23998292499999
1778951297400,42.068734125,-84.23996432499999
1778951297600,42.06877125,-84.23994699999999
1778951297800,42.068806625,-84.23993107499999
1778951298000,42.0688401,-84.239917375
1778951298200,42.0688717,-84.239908225
1778951298400,42.06890145,-84.239903075
1778951298600,42.068929775,-84.2398972
1778951298800,42.0689561,-84.23988827499998
1778951299000,42.068979299999995,-84.23987464999999
1778951299200,42.069000025,-84.23985945
1778951299400,42.069020175,-84.23984672499999
1778951299600,42.0690424,-84.23983974999999
1778951299800,42.06906405,-84.239838525
1778951300000,42.069085825,-84.239842275
1778951300200,42.069108275,-84.23984665
1778951300400,42.0691303,-84.2398458
1778951300600,42.06915095,-84.23983969999999
1778951300800,42.069170525000004,-84.23982867499998
1778951301000,42.0691887,-84.239814075
1778951301200,42.069207549999994,-84.23980449999999
1778951301400,42.06922795,-84.23980155
1778951301600,42.0692483,-84.239804575
1778951301800,42.069269125,-84.239809525
1778951302000,42.06929255,-84.239810175
1778951302200,42.0693171,-84.239806725
1778951302400,42.069342475,-84.23979704999999
1778951302600,42.069369275,-84.23978335
1778951302800,42.069398774999996,-84.23976855
1778951303000,42.069430475000004,-84.239753175
1778951303200,42.069463125,-84.23973895
1778951303400,42.069493,-84.23972814999999
1778951303600,42.069520575,-84.239722175
1778951303800,42.0695471,-84.239722575
1778951304000,42.069571225000004,-84.23972957499998
1778951304200,42.06959475,-84.239741975
1778951304400,42.069618425,-84.2397594
1778951304600,42.06964275,-84.2397764
1778951304800,42.069667225,-84.239787325
1778951305000,42.06969145,-84.239791975
1778951305200,42.069714425,-84.23979027499999
1778951305400,42.069736750000004,-84.2397821
1778951305600,42.06975845,-84.23976827499999
1778951305800,42.069778725,-84.23974965
1778951306000,42.069799675,-84.23972967499999
1778951306200,42.0698234,-84.23971557499999
1778951306400,42.0698503,-84.23970631999998
1778951306600,42.06987443333333,-84.23970443333333
1778951306800,42.069895974999994,-84.23970764999999
1778951307000,42.069920275,-84.23971695
1778951307200,42.06994748,-84.23973286
1778951307400,42.06997366666667,-84.23974913333333
1778951307600,42.069999025,-84.239762075
1778951307800,42.07003005,-84.23977355
1778951308000,42.0700635,-84.23978059999999
1778951308200,42.070096774999996,-84.23978547499999
1778951308400,42.07013086,-84.2397872
1778951308600,42.070158299999996,-84.23978566666666
1778951308800,42.070180075,-84.23978025
1778951309000,42.070203525,-84.23976859999999
1778951309200,42.070224775,-84.23975537499999
1778951309400,42.070242,-84.23973645
1778951309600,42.070255925,-84.23971315
1778951309800,42.07026665,-84.239686025
1778951310000,42.070272474999996,-84.23965692499999
1778951310200,42.0702732,-84.239625875
1778951310400,42.070269725,-84.23959472499999
1778951310600,42.070262175,-84.23956634999999
1778951310800,42.0702489,-84.239540525
1778951311000,42.07023165,-84.23951787499999
1778951311200,42.070212749999996,-84.239495975
1778951311400,42.0701945,-84.239471375
1778951311600,42.070179849999995,-84.2394429
1778951311800,42.070168825,-84.23941124999999
1778951312000,42.070161875000004,-84.239376025
1778951312200,42.07015687500001,-84.2393396
1778951312400,42.07014885,-84.239304275
1778951312600,42.070136399999996,-84.23927177499999
1778951312800,42.070119375000004,-84.23924295
1778951313000,42.070099275000004,-84.239216675
1778951313200,42.070077999999995,-84.23918979999999
1778951313400,42.070058875,-84.23915922500001
1778951313600,42.07004395,-84.23912502499999
1778951313800,42.070033124999995,-84.2390876
1778951314000,42.070025625,-84.23904754999998
1778951314200,42.070015825,-84.239007775
1778951314400,42.0700017,-84.23897085
1778951314600,42.0699839,-84.23893635
1778951314800,42.069962649999994,-84.238904475
1778951315000,42.069939,-84.2388747
1778951315200,42.0699173,-84.23884195
1778951315400,42.069898975,-84.238805925
1778951315600,42.0698845,-84.23876715
1778951315800,42.06987255,-84.23872557499999
1778951316000,42.0698637,-84.23868195
1778951316200,42.069857625000004,-84.23864265
1778951316400,42.069850425,-84.2386076
1778951316600,42.069839599999995,-84.23857597499999
1778951316800,42.069825175,-84.23854872499999
1778951317000,42.069807850000004,-84.23852415
1778951317200,42.069785280000005,-84.23849917999999
1778951317400,42.0697655,-84.23848086666666
1778951317600,42.069750875,-84.23846537499999
1778951317800,42.069738525000005,-84.23844522499999
1778951318000,42.069730324999995,-84.2384229
1778951318200,42.069727525000005,-84.238400325
1778951318400,42.0697292,-84.238377625
1778951318600,42.069734575,-84.238355075
1778951318800,42.069744025,-84.23833224999998
1778951319000,42.0697569,-84.2383084
1778951319200,42.0697721,-84.238283325
1778951319400,42.069787399999996,-84.238257525
1778951319600,42.069798025,-84.23823069999999
1778951319800,42.069804075,-84.238203425
1778951320000,42.0698065,-84.2381753
1778951320200,42.069805675,-84.23814519999999
1778951320400,42.0698017,-84.23811484999999
1778951320600,42.0697975,-84.238083025
1778951320800,42.0697963,-84.23804969999999
1778951321000,42.069798750000004,-84.2380154
1778951321200,42.0698043,-84.23797995
1778951321400,42.069812600000006,-84.23794257499999
1778951321600,42.0698201,-84.237902975
1778951321800,42.069824175,-84.23786132499998
1778951322000,42.069824525,-84.23781925
1778951322200,42.06982105,-84.237776775
1778951322400,42.069814175,-84.237732775
1778951322600,42.06980746,-84.23768147999999
1778951322800,42.069801525,-84.2376285
1778951323000,42.06979593333333,-84.23758636666666
1778951323200,42.069790125,-84.237543
1778951323400,42.0697842,-84.23749237499999
1778951323600,42.0697798,-84.23744479999999
1778951323800,42.069778475,-84.23740129999999
1778951324000,42.069780699999995,-84.23736137499999
1778951324200,42.069785875,-84.23732565
1778951324400,42.069791425,-84.237293725
1778951324600,42.069795375,-84.23726442499999
1778951324800,42.0697968,-84.2372373
1778951325000,42.0697947,-84.237212125
1778951325200,42.069788325,-84.237190375
1778951325400,42.069778150000005,-84.2371723
1778951325600,42.0697639,-84.237159075
1778951325800,42.0697466,-84.2371486
1778951326000,42.06972715,-84.23714254999999
1778951326200,42.069704675000004,-84.2371378
1778951326400,42.069678175,-84.2371382
1778951326600,42.06964742000001,-84.23714299999999
1778951326800,42.069619233333334,-84.23715076666666
1778951327000,42.069594475,-84.23715867499999
1778951327200,42.069567025,-84.237165525
1778951327400,42.069542075,-84.2371685
1778951327600,42.069518925000004,-84.23716675
1778951327800,42.06949428,-84.23715891999998
1778951328000,42.06947443333334,-84.23714639999999
1778951328200,42.069459625,-84.2371292
1778951328400,42.069444579999995,-84.23710366
1778951328600,42.069433275,-84.237073725
1778951328800,42.0694279,-84.2370485
1778951329000,42.069426175000004,-84.237022025
1778951329200,42.069428025,-84.236991675
1778951329400,42.069433925,-84.23696257499999
1778951329600,42.069443225,-84.23693589999999
1778951329800,42.06945655,-84.2369136
1778951330000,42.0694726,-84.236897625
